# Tetrahedron method
        8.2496528409        0.2282871098        0.0684170877        0.4432379071
        8.4023633830        0.2623231483        0.0725526340        0.7903368234
        8.5550739250        0.2262977633        0.0735287025        0.7029022114
        8.7077844671        0.3574645623        0.0878264929        1.1568252182
        8.8604950091        0.3007859547        0.0533763852        0.9696810439
        9.0132055512        0.2751074189        0.0429664385        0.4236312725
        9.1659160932        0.4047373464        0.0629399850        0.4398190564
        9.3186266353        0.4116566237        0.0731889693        0.2945558111
        9.4713371773        0.3728211013        0.0778135126        0.1973764871
        9.6240477194        0.3309480803        0.0821427842        0.1548187336
        9.7767582614        0.2975679225        0.0856210519        0.1233347935
        9.9294688035        0.2562126312        0.0829964777        0.0714571884
       10.0821793456        0.2490387376        0.0841759981        0.0873595734
       10.2348898876        0.2527969024        0.0884864814        0.0874986230
       10.3876004297        0.2609104118        0.0970149566        0.0872118023
       10.5403109717        0.2353637908        0.1018268709        0.0833553108
       10.6930215138        0.2235899105        0.0984573522        0.0794638786
       10.8457320558        0.2182747185        0.0934536179        0.0769708858
       10.9984425979        0.2133991230        0.0867673737        0.0757457798
       11.1511531399        0.2182333469        0.0899572185        0.0805216571
       11.3038636820        0.2121780838        0.0913821930        0.0880170887
       11.4565742240        0.1188800539        0.0939114810        0.0987546611
       11.6092847661        0.1319259248        0.1230024753        0.1205139960
       11.7619953081        0.1591871579        0.1870159582        0.1615083892
       11.9147058502        0.1535443337        0.2439733236        0.1861080903
       12.0674163922        0.1549313022        0.3081128627        0.2347775169
       12.2201269343        0.1634274264        0.3785559464        0.2804038521
       12.3728374764        0.1567150230        0.4159999174        0.2800554444
       12.5255480184        0.1335644101        0.4394329411        0.2489509102
       12.6782585605        0.1830790183        0.5275271317        0.3314930635
       12.8309691025        0.0866387973        0.5271347364        0.2852277146
       12.9836796446        0.0855444927        0.5719158423        0.3147845025
       13.1363901866        0.0847869286        0.5789192107        0.3081337197
       13.2891007287        0.0808791280        0.5230998073        0.2532868734
       13.4418112707        0.0803295519        0.3691961162        0.1618756278
       13.5945218128        0.0841558213        0.2753740463        0.1130435799
       13.7472323548        0.0906983970        0.2221074758        0.0753566897
       13.8999428969        0.0962930347        0.1933809145        0.0538227229
       14.0526534389        0.1027476807        0.1753992499        0.0390319620
       14.2053639810        0.1104443431        0.1599147243        0.0275689891
       14.3580745230        0.1157281184        0.1557293542        0.0253640428
       14.5107850651        0.1216802254        0.1683059378        0.0293428252
       14.6634956072        0.1371535460        0.2057733376        0.0368806143
       14.8162061492        0.1586404896        0.2570598533        0.0446463055
       14.9689166913        0.1916317027        0.3121514932        0.0520025907
       15.1216272333        0.2433655072        0.4164107017        0.0628027466
       15.2743377754        0.2097855379        0.4903086807        0.0761237053
       15.4270483174        0.1818046794        0.5507801037        0.0807107307
       15.5797588595        0.1805551213        0.6348718551        0.0876462576
       15.7324694015        0.1589895899        0.6706282702        0.0942563120
       15.8851799436        0.1423601415        0.6528769388        0.0955802778
       16.0378904856        0.1154740526        0.5511140146        0.0845393508
       16.1906010277        0.0862116837        0.4334960949        0.0699656956
       16.3433115697        0.0662439953        0.3827250022        0.0636114298
       16.4960221118        0.0532894160        0.4186479600        0.0641405438
       16.6487326538        0.0237116493        0.3135872097        0.0638429271
       16.8014431959        0.0195569520        0.2693534245        0.0635698927
       16.9541537380        0.0172527299        0.2458096599        0.0655527809
       17.1068642800        0.0118856879        0.1740546884        0.0629468755
       17.2595748221        0.0045310844        0.0562634578        0.0496125606
       17.4122853641        0.0038284692        0.0411281059        0.0473317244
       17.5649959062        0.0037602848        0.0365653409        0.0478006981
       17.7177064482        0.0038340781        0.0336187401        0.0492142208
       17.8704169903        0.0039335097        0.0312771095        0.0505374256
       18.0231275323        0.0040247052        0.0289208586        0.0513502090
       18.1758380744        0.0041451131        0.0270173843        0.0521538804
       18.3285486164        0.0042896812        0.0256417440        0.0531783000
       18.4812591585        0.0044659611        0.0245969172        0.0545122790
       18.6339697005        0.0046422220        0.0236372583        0.0558340408
       18.7866802426        0.0048222388        0.0228001730        0.0571846522
       18.9393907846        0.0050341840        0.0220325464        0.0588758629
       19.0921013267        0.0053195130        0.0214739002        0.0614248195
       19.2448118688        0.0055457811        0.0209544923        0.0634598569
       19.3975224108        0.0057530918        0.0205049582        0.0653769294
       19.5502329529        0.0059926719        0.0203581156        0.0677631566
       19.7029434949        0.0063150735        0.0201772691        0.0711337035
       19.8556540370        0.0067700121        0.0201355431        0.0761554494
       20.0083645790        0.0070543584        0.0200648119        0.0798555747
       20.1610751211        0.0073343865        0.0203536348        0.0839090360
       20.3137856631        0.0078158494        0.0209415750        0.0907513990
       20.4664962052        0.0084356837        0.0214981549        0.1000844393
       20.6192067472        0.0088351114        0.0221474047        0.1083866502
       20.7719172893        0.0095447330        0.0240761073        0.1229282280
       20.9246278313        0.0103036592        0.0261453181        0.1424118932
       21.0773383734        0.0111875929        0.0292017642        0.1724144877
       21.2300489154        0.0124650776        0.0370347866        0.2381723899
       21.3827594575        0.0127681827        0.0513888179        0.3522030692
       21.5354699996        0.0112937144        0.0802802099        0.4916434545
       21.6881805416        0.0040948288        0.0491932235        0.2833019893
       21.8408910837        0.0006103579        0.0012418765        0.0499432647
       21.9936016257        0.0000000000        0.0000000000        0.0000000000
       22.1463121678        0.0000000000        0.0000000000        0.0000000000
       22.2990227098        0.0000000000        0.0000000000        0.0000000000
       22.4517332519        0.0000000000        0.0000000000        0.0000000000
       22.6044437939        0.0000000000        0.0000000000        0.0000000000
       22.7571543360        0.0000000000        0.0000000000        0.0000000000
       22.9098648780        0.0000000000        0.0000000000        0.0000000000
       23.0625754201        0.0000000000        0.0000000000        0.0000000000
       23.2152859621        0.0000000000        0.0000000000        0.0000000000
       23.3679965042        0.0000000000        0.0000000000        0.0000000000
       23.5207070463        0.0000000000        0.0000000000        0.0000000000
       23.6734175883        0.0000000000        0.0000000000        0.0000000000
       23.8261281304        0.0000000000        0.0000000000        0.0000000000
       23.9788386724        0.0000000000        0.0000000000        0.0000000000
       24.1315492145        0.0000000000        0.0000000000        0.0000000000
       24.2842597565        0.0000000000        0.0000000000        0.0000000000
       24.4369702986        0.0000000000        0.0000000000        0.0000000000
